grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_row_facts,number_other_constraints,number_other_facts,time,obj_value
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 6, 2]]]","[['ROW', 1], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [1, 3, 2]]",3,4,2,0,1,1,0,0,0,0,2,2,2,0,2,0,1,2,2,2,10.997711658477783,4.430000000000001
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 2 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [3, 4, 3]], ['FACT', [6, 6, 3]], ['FACT', [8, 2, 3]]]","[['ROW', 7], ['COL', 4], ['COL', 5], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 3, 3]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,10.358293533325195,4.23
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 2 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 1, 8]], ['FACT', [5, 8, 8]], ['FACT', [8, 7, 8]]]","[['ROW', 1], ['COL', 7], ['COL', 8], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [1, 6, 8]]",4,6,1,2,1,1,0,0,0,2,1,3,3,0,0,0,1,3,3,3,10.16056752204895,6.52
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 6, 8]], ['FACT', [2, 1, 8]], ['FACT', [6, 4, 8]]]","[['ROW', 0], ['COL', 4], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [0, 3, 8]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,3,3,9.459160804748535,4.330000000000001
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 3, 8]], ['FACT', [0, 5, 3]], ['FACT', [0, 8, 6]], ['FACT', [3, 0, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 0], ['COL', 4], ['COL', 2], ['COL', 6], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [0, 7, 5]]",7,8,3,3,1,1,0,0,0,3,3,4,4,0,1,0,1,4,6,4,8.850386619567871,8.84
"[[0 0 2 8 0 3 9 5 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 7, 5]], ['FACT', [3, 0, 5]], ['FACT', [5, 4, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 4], ['COL', 7], ['COL', 6], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [4, 8, 5]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,9.033947467803955,4.23
"[[0 0 2 8 0 3 9 5 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 7, 5]], ['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [3, 0, 5]], ['FACT', [6, 1, 5]]]","[['ROW', 1], ['COL', 1], ['COL', 0], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 2, 5]]",4,6,1,2,1,1,0,0,0,2,1,3,3,0,0,0,1,3,3,3,8.313303470611572,6.52
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [1, 2, 5]], ['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [7, 1, 6]]]","[['ROW', 1], ['COL', 1], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 0, 6]]",3,6,1,1,1,1,0,0,0,1,1,4,2,0,1,0,1,4,2,2,8.559982299804688,6.62
"[[0 0 2 8 0 3 9 5 6]
 [6 0 5 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [0, 7, 5]], ['FACT', [0, 8, 6]], ['FACT', [1, 4, 7]], ['FACT', [8, 1, 7]]]","[['ROW', 0], ['COL', 1], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [0, 0, 7]]",3,6,1,1,1,1,0,0,0,1,1,4,2,0,1,0,1,4,2,2,7.9812095165252686,6.62
"[[7 0 2 8 0 3 9 5 6]
 [6 0 5 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 0, 7]], ['FACT', [0, 2, 2]], ['FACT', [0, 5, 3]], ['FACT', [0, 6, 9]], ['FACT', [0, 7, 5]], ['FACT', [0, 8, 6]], ['FACT', [3, 3, 4]], ['FACT', [8, 4, 4]]]","[['ROW', 0], ['COL', 5], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [0, 1, 4]]",5,8,3,1,1,1,0,0,0,1,3,6,2,0,2,0,1,6,4,2,8.14548373222351,8.940000000000001
